<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2017.01.01 00:00;10000.00;10000.00;0.0000
2017.01.03 09:15;9958.00;10014.00;0.0000
2017.01.03 10:01;9958.00;9959.00;0.0000
2017.01.03 10:03;9958.00;9958.00;0.0000
2017.01.04 09:16;9916.00;9975.00;0.0000
2017.01.04 09:19;9916.00;9938.00;0.0000
2017.01.04 09:21;9916.00;9916.00;0.0000
2017.01.04 14:14;9961.00;9896.00;0.0000
2017.01.04 16:42;9961.00;9967.00;0.0000
2017.01.04 16:45;9961.00;9961.00;0.0000
2017.01.05 11:55;9924.00;10004.00;0.0000
2017.01.05 12:45;9924.00;9929.00;0.0000
2017.01.05 12:46;9924.00;9924.00;0.0000
2017.01.09 10:45;9981.00;9906.00;0.0000
2017.01.09 11:17;9981.00;9991.00;0.0000
2017.01.09 11:20;9981.00;9981.00;0.0000
2017.01.09 12:43;9946.00;9952.00;0.0000
2017.01.09 13:30;9946.00;10004.00;0.0000
2017.01.09 14:09;9946.00;9946.00;0.0000
2017.01.13 09:14;9913.00;9947.00;0.0000
2017.01.13 09:26;9913.00;9915.00;0.0000
2017.01.13 09:59;9913.00;9913.00;0.0000
2017.01.17 09:30;9977.00;9907.00;0.0000
2017.01.17 11:10;9977.00;9987.00;0.0000
2017.01.17 11:13;9977.00;9977.00;0.0000
2017.01.17 13:31;9936.00;9985.00;0.0000
2017.01.17 13:40;9936.00;9942.00;0.0000
2017.01.17 13:41;9936.00;9936.00;0.0000
2017.01.19 10:41;9892.00;9894.00;0.0000
2017.01.19 11:27;9892.00;9990.00;0.0000
2017.01.19 12:40;9892.00;9892.00;0.0000
2017.01.23 10:01;9869.00;9934.00;0.0000
2017.01.23 11:24;9869.00;9852.00;0.0000
2017.01.23 12:18;9869.00;9869.00;0.0000
2017.01.31 13:18;9866.00;9946.00;0.0000
2017.01.31 15:26;9866.00;9864.00;0.0000
2017.01.31 15:29;9866.00;9866.00;0.0000
2017.02.06 12:45;9864.00;9841.00;0.0000
2017.02.06 14:23;9864.00;9917.00;0.0000
2017.02.06 15:28;9864.00;9864.00;0.0000
2017.02.08 11:44;9941.00;9860.00;0.0000
2017.02.08 13:47;9941.00;9953.00;0.0000
2017.02.08 13:48;9941.00;9941.00;0.0000
2017.02.09 10:41;9900.00;10008.00;0.0000
2017.02.09 12:47;9900.00;9903.00;0.0000
2017.02.09 12:48;9900.00;9900.00;0.0000
2017.02.14 12:41;9862.00;9904.00;0.0000
2017.02.14 13:01;9862.00;9867.00;0.0000
2017.02.14 13:09;9862.00;9862.00;0.0000
2017.02.17 10:11;9817.00;9889.00;0.0000
2017.02.17 10:38;9817.00;9832.00;0.0000
2017.02.17 10:39;9817.00;9817.00;0.0000
2017.02.22 12:40;9793.00;9866.00;0.0000
2017.02.22 13:37;9793.00;9782.00;0.0000
2017.02.22 14:57;9793.00;9793.00;0.0000
2017.02.23 13:28;9742.00;9825.00;0.0000
2017.02.23 14:08;9742.00;9761.00;0.0000
2017.02.23 14:09;9742.00;9742.00;0.0000
2017.03.01 14:16;9772.00;9702.00;0.0000
2017.03.01 15:28;9772.00;9804.00;0.0000
2017.03.01 16:01;9772.00;9772.00;0.0000
2017.03.02 11:46;9731.00;9830.00;0.0000
2017.03.02 12:09;9731.00;9738.00;0.0000
2017.03.02 12:10;9731.00;9731.00;0.0000
2017.03.03 09:50;9691.00;9745.00;0.0000
2017.03.03 10:08;9691.00;9693.00;0.0000
2017.03.03 10:09;9691.00;9691.00;0.0000
2017.03.06 12:13;9636.00;9705.00;0.0000
2017.03.06 12:57;9636.00;9641.00;0.0000
2017.03.06 13:00;9636.00;9636.00;0.0000
2017.03.07 14:08;9617.00;9680.00;0.0000
2017.03.07 15:58;9617.00;9605.00;0.0000
2017.03.07 16:12;9617.00;9617.00;0.0000
2017.03.08 09:56;9585.00;9643.00;0.0000
2017.03.08 10:16;9585.00;9586.00;0.0000
2017.03.08 10:17;9585.00;9585.00;0.0000
2017.03.10 12:29;9687.00;9704.00;0.0000
2017.03.10 12:35;9687.00;9687.00;0.0000
2017.03.14 11:34;9763.00;9656.00;0.0000
2017.03.14 12:50;9763.00;9771.00;0.0000
2017.03.14 12:50;9763.00;9763.00;0.0000
2017.03.17 10:16;9831.00;9740.00;0.0000
2017.03.17 11:22;9831.00;9843.00;0.0000
2017.03.17 11:25;9831.00;9831.00;0.0000
2017.03.17 11:35;9773.00;9834.00;0.0000
2017.03.17 11:43;9773.00;9792.00;0.0000
2017.03.17 11:44;9773.00;9773.00;0.0000
2017.03.20 09:10;9743.00;9778.00;0.0000
2017.03.20 09:15;9743.00;9746.00;0.0000
2017.03.20 09:16;9743.00;9743.00;0.0000
2017.03.20 12:52;9809.00;9709.00;0.0000
2017.03.20 14:00;9809.00;9830.00;0.0000
2017.03.20 14:02;9809.00;9809.00;0.0000
