Data;Balance
2017.01.01 00:00;10000.00
2017.01.02 10:41;10035.00
2017.01.02 11:55;10035.00
2017.01.02 12:15;10035.00
2017.01.04 10:11;10073.00
2017.01.04 10:17;10073.00
2017.01.05 10:23;10090.00
2017.01.05 10:34;10090.00
2017.01.05 11:45;10090.00
2017.01.06 10:15;10039.00
2017.01.06 10:59;10039.00
2017.01.06 11:00;10039.00
2017.01.06 11:30;10036.00
2017.01.06 12:01;10036.00
2017.01.06 12:15;10036.00
2017.01.09 10:28;10073.00
2017.01.09 11:16;10073.00
2017.01.09 11:16;10073.00
2017.01.10 10:40;10080.00
2017.01.10 11:04;10080.00
2017.01.10 12:15;10080.00
2017.01.11 10:12;10171.00
2017.01.11 11:42;10171.00
2017.01.11 11:42;10171.00
2017.01.13 10:35;10125.00
2017.01.13 12:10;10125.00
2017.01.13 12:15;10125.00
2017.01.16 10:12;10115.00
2017.01.16 11:30;10115.00
2017.01.16 12:15;10115.00
2017.01.17 09:45;10173.00
2017.01.17 10:47;10173.00
2017.01.17 10:47;10173.00
2017.01.18 09:34;10220.00
2017.01.18 10:30;10220.00
2017.01.18 10:30;10220.00
2017.01.18 12:12;10252.00
2017.01.18 12:15;10252.00
2017.01.19 10:41;10283.00
2017.01.19 11:17;10283.00
2017.01.19 11:17;10283.00
2017.01.19 11:57;10303.00
2017.01.19 12:10;10303.00
2017.01.19 12:15;10303.00
2017.01.20 09:57;10307.00
2017.01.20 10:23;10307.00
2017.01.20 12:15;10307.00
2017.01.23 10:01;10257.00
2017.01.23 11:17;10257.00
2017.01.23 11:24;10257.00
2017.01.24 10:16;10291.00
2017.01.24 10:48;10291.00
2017.01.24 11:00;10291.00
2017.01.27 10:52;10295.00
2017.01.27 11:34;10295.00
2017.01.27 11:40;10295.00
2017.01.27 11:51;10313.00
2017.01.27 12:03;10313.00
2017.01.27 12:03;10313.00
2017.01.31 11:25;10281.00
2017.01.31 12:03;10281.00
2017.01.31 12:15;10281.00
2017.02.01 10:27;10231.00
2017.02.01 11:31;10231.00
2017.02.01 11:45;10231.00
2017.02.02 10:32;10353.00
2017.02.02 11:44;10353.00
2017.02.02 11:44;10353.00
2017.02.03 10:13;10417.00
2017.02.03 11:30;10417.00
2017.02.03 11:30;10417.00
2017.02.06 10:14;10469.00
2017.02.06 10:31;10469.00
2017.02.06 10:31;10469.00
2017.02.08 10:03;10545.00
2017.02.08 10:27;10545.00
2017.02.08 10:27;10545.00
2017.02.08 11:44;10568.00
2017.02.08 12:10;10568.00
2017.02.08 12:15;10568.00
2017.02.09 10:12;10643.00
2017.02.09 10:41;10643.00
2017.02.09 10:50;10643.00
2017.02.10 10:38;10593.00
2017.02.10 11:31;10593.00
2017.02.10 11:55;10593.00
2017.02.13 10:41;10588.00
2017.02.13 11:11;10588.00
2017.02.13 12:15;10588.00
2017.02.14 09:20;10597.00
2017.02.14 09:21;10597.00
2017.02.14 09:21;10597.00
2017.02.14 11:23;10560.00
2017.02.14 12:14;10560.00
2017.02.14 12:15;10560.00
2017.02.16 10:02;10608.00
2017.02.16 10:35;10608.00
2017.02.16 10:35;10608.00
2017.02.17 10:11;10557.00
2017.02.17 10:38;10557.00
2017.02.17 10:39;10557.00
2017.02.17 11:54;10603.00
2017.02.17 12:14;10603.00
2017.02.17 12:15;10603.00
2017.02.21 11:19;10658.00
2017.02.21 12:07;10658.00
2017.02.21 12:07;10658.00
2017.02.22 10:13;10607.00
2017.02.22 11:54;10607.00
2017.02.22 11:55;10607.00
2017.02.23 12:11;10659.00
2017.02.23 12:15;10659.00
2017.02.24 11:43;10694.00
2017.02.24 11:47;10694.00
2017.02.24 11:47;10694.00
2017.03.02 10:15;10643.00
2017.03.02 10:26;10643.00
2017.03.02 10:27;10643.00
2017.03.02 11:46;10591.00
2017.03.02 12:09;10591.00
2017.03.02 12:10;10591.00
2017.03.03 09:28;10628.00
2017.03.03 09:36;10628.00
2017.03.03 09:36;10628.00
2017.03.03 09:50;10578.00
2017.03.03 10:09;10578.00
2017.03.03 10:10;10578.00
2017.03.03 11:33;10615.00
2017.03.03 12:14;10615.00
2017.03.03 12:15;10615.00
2017.03.06 10:06;10662.00
2017.03.06 10:14;10662.00
2017.03.06 10:14;10662.00
2017.03.06 10:20;10685.00
2017.03.06 10:28;10685.00
2017.03.06 10:28;10685.00
2017.03.06 11:57;10698.00
2017.03.06 12:03;10698.00
2017.03.06 12:15;10698.00
2017.03.07 10:06;10747.00
2017.03.07 10:25;10747.00
2017.03.07 10:25;10747.00
2017.03.07 11:36;10815.00
2017.03.07 11:36;10815.00
2017.03.08 09:56;10764.00
2017.03.08 10:24;10764.00
2017.03.08 10:25;10764.00
2017.03.08 11:31;10755.00
2017.03.08 11:45;10755.00
2017.03.08 12:15;10755.00
2017.03.09 10:04;10836.00
2017.03.09 11:17;10836.00
2017.03.09 11:19;10836.00
2017.03.10 12:00;10876.00
2017.03.10 12:12;10876.00
2017.03.10 12:15;10876.00
2017.03.13 10:39;10907.00
2017.03.13 11:50;10907.00
2017.03.13 11:55;10907.00
2017.03.14 10:40;10856.00
2017.03.14 10:57;10856.00
2017.03.14 10:58;10856.00
2017.03.15 10:07;10917.00
2017.03.15 10:40;10917.00
2017.03.15 10:40;10917.00
2017.03.15 11:45;10943.00
2017.03.15 12:01;10943.00
2017.03.15 12:15;10943.00
2017.03.16 11:45;10886.00
2017.03.16 12:01;10886.00
2017.03.16 12:03;10886.00
2017.03.17 09:11;10829.00
2017.03.17 09:25;10829.00
2017.03.17 09:26;10829.00
2017.03.17 10:16;10887.00
2017.03.17 10:55;10887.00
2017.03.17 10:55;10887.00
2017.03.20 10:12;10836.00
2017.03.20 10:20;10836.00
2017.03.20 10:24;10836.00
2017.03.21 09:38;10894.00
2017.03.21 10:02;10894.00
2017.03.21 10:02;10894.00
2017.03.22 09:53;10926.00
2017.03.22 10:23;10926.00
2017.03.22 10:30;10926.00
2017.03.22 11:03;11023.00
2017.03.22 11:31;11023.00
2017.03.22 11:31;11023.00
2017.03.23 10:15;11066.00
2017.03.23 10:19;11066.00
2017.03.23 10:19;11066.00
2017.03.23 11:36;11016.00
2017.03.23 11:37;11016.00
2017.03.23 11:47;11016.00
2017.03.24 09:40;11096.00
2017.03.24 10:09;11096.00
2017.03.24 10:09;11096.00
2017.03.24 10:31;11081.00
2017.03.24 11:04;11081.00
2017.03.24 12:15;11081.00
2017.03.28 09:20;11129.00
2017.03.28 09:30;11129.00
2017.03.28 10:13;11161.00
2017.03.28 10:21;11161.00
2017.03.28 10:21;11161.00
2017.03.28 11:02;11229.00
2017.03.28 11:20;11229.00
2017.03.28 11:20;11229.00
2017.03.29 09:15;11285.00
2017.03.29 10:04;11285.00
2017.03.29 10:04;11285.00
2017.03.29 10:25;11304.00
2017.03.29 10:25;11304.00
2017.03.30 10:17;11364.00
2017.03.30 10:17;11364.00
2017.03.30 10:36;11396.00
2017.03.30 10:40;11396.00
2017.03.30 10:40;11396.00
2017.03.30 12:00;11397.00
2017.03.30 12:11;11397.00
2017.03.30 12:15;11397.00
2017.03.31 10:41;11456.00
2017.03.31 11:11;11456.00
