<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2017.01.01 00:00;10000.00;10000.00;0.0000
2017.01.02 13:10;10069.00;9984.00;0.0000
2017.01.02 13:38;10069.00;10069.00;0.0000
2017.01.02 13:38;10069.00;10069.00;0.0000
2017.01.04 09:21;10152.00;10024.00;0.0000
2017.01.04 12:30;10152.00;10153.00;0.0000
2017.01.04 12:30;10152.00;10152.00;0.0000
2017.01.05 11:55;10112.00;10195.00;0.0000
2017.01.05 12:45;10112.00;10120.00;0.0000
2017.01.05 12:46;10112.00;10112.00;0.0000
2017.01.06 10:15;10050.00;10142.00;0.0000
2017.01.06 11:07;10050.00;10055.00;0.0000
2017.01.06 12:33;10050.00;10050.00;0.0000
2017.01.09 10:28;10087.00;10007.00;0.0000
2017.01.09 11:16;10087.00;10087.00;0.0000
2017.01.09 11:16;10087.00;10087.00;0.0000
2017.01.10 10:40;10138.00;10075.00;0.0000
2017.01.10 14:34;10138.00;10139.00;0.0000
2017.01.10 14:34;10138.00;10138.00;0.0000
2017.01.11 11:17;10223.00;10224.00;0.0000
2017.01.11 11:17;10223.00;10223.00;0.0000
2017.01.12 13:20;10253.00;10310.00;0.0000
2017.01.12 15:37;10253.00;10200.00;0.0000
2017.01.12 17:25;10253.00;10253.00;0.0000
2017.01.13 09:59;10296.00;10224.00;0.0000
2017.01.13 10:30;10296.00;10296.00;0.0000
2017.01.13 10:30;10296.00;10296.00;0.0000
2017.01.17 09:30;10366.00;10290.00;0.0000
2017.01.17 11:00;10366.00;10366.00;0.0000
2017.01.17 11:00;10366.00;10366.00;0.0000
2017.01.18 09:12;10393.00;10358.00;0.0000
2017.01.18 09:23;10393.00;10393.00;0.0000
2017.01.18 09:23;10393.00;10393.00;0.0000
2017.01.18 11:20;10428.00;10357.00;0.0000
2017.01.18 12:12;10428.00;10429.00;0.0000
2017.01.18 12:12;10428.00;10428.00;0.0000
2017.01.19 10:41;10499.00;10419.00;0.0000
2017.01.19 11:19;10499.00;10499.00;0.0000
2017.01.19 11:19;10499.00;10499.00;0.0000
2017.01.20 10:23;10444.00;10531.00;0.0000
2017.01.20 12:54;10444.00;10445.00;0.0000
2017.01.20 13:19;10444.00;10444.00;0.0000
2017.01.24 12:20;10503.00;10517.00;0.0000
2017.01.24 13:03;10503.00;10405.00;0.0000
2017.01.24 14:32;10503.00;10503.00;0.0000
2017.01.26 12:39;10585.00;10586.00;0.0000
2017.01.26 12:39;10585.00;10585.00;0.0000
2017.01.30 10:19;10529.00;10606.00;0.0000
2017.01.30 10:58;10529.00;10530.00;0.0000
2017.01.30 10:59;10529.00;10529.00;0.0000
2017.02.01 10:27;10474.00;10537.00;0.0000
2017.02.01 11:31;10474.00;10480.00;0.0000
2017.02.01 11:45;10474.00;10474.00;0.0000
2017.02.02 09:14;10389.00;10483.00;0.0000
2017.02.02 10:00;10389.00;10390.00;0.0000
2017.02.02 10:07;10389.00;10389.00;0.0000
2017.02.03 10:13;10463.00;10359.00;0.0000
2017.02.03 11:36;10463.00;10463.00;0.0000
2017.02.03 11:36;10463.00;10463.00;0.0000
2017.02.06 10:14;10524.00;10446.00;0.0000
2017.02.06 10:31;10524.00;10525.00;0.0000
2017.02.06 10:31;10524.00;10524.00;0.0000
2017.02.06 11:15;10463.00;10538.00;0.0000
2017.02.06 11:36;10463.00;10467.00;0.0000
2017.02.06 11:38;10463.00;10463.00;0.0000
2017.02.07 12:01;10509.00;10435.00;0.0000
2017.02.07 12:59;10509.00;10510.00;0.0000
2017.02.07 12:59;10509.00;10509.00;0.0000
2017.02.08 10:03;10544.00;10498.00;0.0000
2017.02.08 10:06;10544.00;10545.00;0.0000
2017.02.08 10:06;10544.00;10544.00;0.0000
2017.02.09 10:41;10504.00;10611.00;0.0000
2017.02.09 12:47;10504.00;10506.00;0.0000
2017.02.09 12:48;10504.00;10504.00;0.0000
2017.02.10 09:15;10431.00;10526.00;0.0000
2017.02.10 12:00;10431.00;10436.00;0.0000
2017.02.10 12:27;10431.00;10431.00;0.0000
2017.02.13 12:49;10490.00;10398.00;0.0000
2017.02.13 13:58;10490.00;10491.00;0.0000
2017.02.13 13:58;10490.00;10490.00;0.0000
2017.02.14 10:12;10548.00;10469.00;0.0000
2017.02.14 11:46;10548.00;10549.00;0.0000
2017.02.14 11:46;10548.00;10548.00;0.0000
2017.02.16 11:11;10493.00;10556.00;0.0000
2017.02.16 11:45;10493.00;10494.00;0.0000
2017.02.16 11:58;10493.00;10493.00;0.0000
2017.02.17 11:05;10525.00;10413.00;0.0000
2017.02.17 13:50;10525.00;10525.00;0.0000
2017.02.17 13:50;10525.00;10525.00;0.0000
2017.02.20 11:51;10470.00;10559.00;0.0000
2017.02.20 14:56;10470.00;10474.00;0.0000
2017.02.20 15:41;10470.00;10470.00;0.0000
2017.02.21 11:19;10519.00;10430.00;0.0000
2017.02.21 12:32;10519.00;10520.00;0.0000
2017.02.21 12:32;10519.00;10519.00;0.0000
