<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2017.03.29 17:30;10294.00;10294.00;0.0000
2017.03.31 14:33;10164.00;10296.00;0.0000
2017.03.31 17:07;10164.00;10166.00;0.0000
2017.03.31 17:08;10164.00;10164.00;0.0000
2017.04.05 15:01;10284.00;10110.00;0.0000
2017.04.05 15:56;10284.00;10283.00;0.0000
2017.04.05 15:57;10284.00;10284.00;0.0000
2017.04.07 11:01;10286.00;10238.00;0.0000
2017.04.07 13:32;10286.00;10399.00;0.0000
2017.04.07 15:27;10286.00;10286.00;0.0000
2017.04.10 12:48;10195.00;10317.00;0.0000
2017.04.10 15:24;10195.00;10160.00;0.0000
2017.04.10 17:30;10195.00;10195.00;0.0000
2017.04.13 15:50;10240.00;10122.00;0.0000
2017.04.13 17:29;10240.00;10245.00;0.0000
2017.04.13 17:30;10240.00;10240.00;0.0000
2017.04.26 12:28;10132.00;10258.00;0.0000
2017.04.26 14:14;10132.00;10116.00;0.0000
2017.04.26 17:30;10132.00;10132.00;0.0000
2017.04.28 12:30;10125.00;10139.00;0.0000
2017.04.28 13:00;10125.00;10073.00;0.0000
2017.04.28 17:30;10125.00;10125.00;0.0000
2017.05.04 11:39;10221.00;10118.00;0.0000
2017.05.04 13:54;10221.00;10232.00;0.0000
2017.05.04 17:30;10221.00;10221.00;0.0000
2017.05.05 12:10;10256.00;10177.00;0.0000
2017.05.05 17:19;10256.00;10276.00;0.0000
2017.05.05 17:30;10256.00;10256.00;0.0000
2017.05.17 13:10;10376.00;10223.00;0.0000
2017.05.17 15:43;10376.00;10370.00;0.0000
2017.05.17 15:44;10376.00;10376.00;0.0000
2017.05.23 14:57;10437.00;10334.00;0.0000
2017.05.23 17:16;10437.00;10470.00;0.0000
2017.05.23 17:30;10437.00;10437.00;0.0000
2017.05.24 15:28;10307.00;10457.00;0.0000
2017.05.24 16:45;10307.00;10310.00;0.0000
2017.05.24 16:50;10307.00;10307.00;0.0000
2017.05.25 11:13;10177.00;10310.00;0.0000
2017.05.25 11:44;10177.00;10178.00;0.0000
2017.05.25 11:45;10177.00;10177.00;0.0000
2017.05.26 13:37;10153.00;10194.00;0.0000
2017.05.26 16:09;10153.00;10092.00;0.0000
2017.05.26 17:30;10153.00;10153.00;0.0000
2017.06.01 16:19;10154.00;10141.00;0.0000
2017.06.01 16:42;10154.00;10196.00;0.0000
2017.06.01 17:30;10154.00;10154.00;0.0000
2017.06.09 14:09;10163.00;10055.00;0.0000
2017.06.09 16:53;10163.00;10200.00;0.0000
2017.06.09 17:30;10163.00;10163.00;0.0000
2017.06.14 16:12;10085.00;10169.00;0.0000
2017.06.14 16:54;10085.00;10064.00;0.0000
2017.06.14 17:30;10085.00;10085.00;0.0000
2017.06.27 15:44;10071.00;10107.00;0.0000
2017.06.27 15:53;10071.00;10062.00;0.0000
