Data;Balance
2017.06.14;11800.00
2017.06.14;11800.00
2017.06.19;11769.00
2017.06.19;11769.00
2017.06.19;11769.00
2017.06.20;11739.00
2017.06.20;11739.00
2017.06.20;11739.00
2017.06.22;11718.00
2017.06.22;11718.00
2017.06.22;11718.00
2017.06.23;11688.00
2017.06.23;11688.00
2017.06.23;11688.00
2017.06.28;11778.00
2017.06.28;11778.00
2017.06.28;11778.00
2017.06.29;11870.00
2017.06.29;11870.00
2017.06.29;11870.00
2017.06.29;11979.00
2017.06.29;11979.00
2017.06.29;11979.00
2017.07.07;11991.00
2017.07.07;11991.00
2017.07.07;11991.00
2017.07.10;11953.00
2017.07.10;11953.00
2017.07.10;11953.00
2017.07.12;11916.00
2017.07.12;11916.00
2017.07.12;11916.00
2017.07.14;11953.00
2017.07.14;11953.00
2017.07.14;11953.00
2017.07.19;11918.00
2017.07.19;11918.00
2017.07.19;11918.00
2017.07.20;11946.00
2017.07.20;11946.00
2017.07.20;11946.00
2017.07.26;11914.00
2017.07.26;11914.00
2017.07.26;11914.00
2017.08.04;11959.00
2017.08.04;11959.00
2017.08.04;11959.00
2017.08.10;11929.00
2017.08.10;11929.00
2017.08.10;11929.00
2017.08.11;11887.00
2017.08.11;11887.00
2017.08.11;11887.00
2017.08.14;11933.00
2017.08.14;11933.00
2017.08.14;11933.00
2017.08.15;11891.00
2017.08.15;11891.00
2017.08.15;11891.00
2017.08.22;11856.00
2017.08.22;11856.00
2017.08.22;11856.00
2017.08.23;11868.00
2017.08.23;11868.00
2017.08.23;11868.00
2017.08.25;11854.00
2017.08.25;11854.00
2017.08.25;11854.00
2017.08.29;11934.00
2017.08.29;11934.00
2017.08.29;11934.00
2017.09.01;11893.00
2017.09.01;11893.00
2017.09.01;11893.00
2017.09.06;11846.00
2017.09.06;11846.00
2017.09.06;11846.00
2017.09.08;11928.00
2017.09.08;11928.00
2017.09.08;11928.00
2017.09.08;11887.00
2017.09.08;11887.00
2017.09.08;11887.00
2017.09.12;11852.00
2017.09.12;11852.00
2017.09.12;11852.00
2017.09.13;11857.00
2017.09.13;11857.00
2017.09.13;11857.00
2017.09.15;11817.00
2017.09.15;11817.00
2017.09.15;11817.00
2017.09.18;11864.00
2017.09.18;11864.00
2017.09.19;11940.00
2017.09.19;11940.00
2017.09.19;12052.00
2017.09.19;12052.00
2017.09.19;12052.00
2017.09.20;12028.00
2017.09.20;12028.00
2017.09.20;12028.00
2017.09.21;12145.00
2017.09.21;12145.00
2017.09.21;12145.00
2017.09.21;12127.00
2017.09.21;12127.00
2017.09.21;12127.00
2017.09.22;12180.00
2017.09.22;12180.00
2017.09.22;12180.00
2017.09.25;12138.00
2017.09.25;12138.00
2017.09.25;12138.00
2017.09.27;12099.00
2017.09.27;12099.00
2017.09.27;12099.00
2017.09.28;12140.00
2017.09.28;12140.00
2017.09.28;12140.00
2017.10.02;12149.00
2017.10.02;12149.00
2017.10.02;12149.00
2017.10.03;12122.00
2017.10.03;12122.00
2017.10.03;12122.00
2017.10.06;12065.00
2017.10.06;12065.00
2017.10.06;12065.00
2017.10.09;12020.00
2017.10.09;12020.00
2017.10.09;12020.00
2017.10.10;11966.00
2017.10.10;11966.00
2017.10.10;11966.00
2017.10.13;12071.00
2017.10.13;12071.00
2017.10.13;12071.00
2017.10.16;12082.00
2017.10.16;12082.00
2017.10.16;12082.00
2017.10.16;12111.00
2017.10.16;12111.00
2017.10.16;12111.00
2017.10.19;12069.00
2017.10.19;12069.00
