<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2018.06.26 12:30;10840.00;10971.00;0.0000
2018.06.26 13:03;10840.00;10843.00;0.0000
2018.06.26 13:09;10840.00;10840.00;0.0000
2018.06.26 16:19;10894.00;10793.00;0.0000
2018.06.26 17:29;10894.00;10926.00;0.0000
2018.06.26 17:40;10894.00;10894.00;0.0000
2018.06.27 15:20;11000.00;10858.00;0.0000
2018.06.27 15:57;11000.00;10984.00;0.0000
2018.06.27 15:58;11000.00;11000.00;0.0000
2018.06.28 13:22;11105.00;10936.00;0.0000
2018.06.28 15:29;11105.00;11104.00;0.0000
2018.06.28 15:34;11105.00;11105.00;0.0000
2018.07.11 16:43;11105.00;11050.00;0.0000
2018.07.11 17:03;11105.00;11121.00;0.0000
2018.07.30 11:51;11105.00;11105.00;0.0000
2018.07.31 11:33;11080.00;11119.00;0.0000
2018.07.31 13:53;11080.00;11025.00;0.0000
2018.07.31 17:40;11080.00;11080.00;0.0000
2018.08.07 15:46;10986.00;11108.00;0.0000
2018.08.07 17:25;10986.00;11020.00;0.0000
2018.08.07 17:26;10986.00;10986.00;0.0000
2018.08.14 15:33;11091.00;10973.00;0.0000
2018.08.14 16:06;11091.00;11088.00;0.0000
2018.08.14 16:07;11091.00;11091.00;0.0000
2018.08.15 12:18;10997.00;11117.00;0.0000
2018.08.15 13:16;10997.00;11000.00;0.0000
2018.08.15 13:17;10997.00;10997.00;0.0000
2018.08.15 13:53;10902.00;11016.00;0.0000
2018.08.15 15:18;10902.00;10904.00;0.0000
2018.08.15 15:26;10902.00;10902.00;0.0000
2018.08.15 15:32;10928.00;10939.00;0.0000
2018.08.15 16:20;10928.00;10861.00;0.0000
2018.08.15 17:40;10928.00;10928.00;0.0000
2018.08.22 16:10;10984.00;10892.00;0.0000
2018.08.22 17:32;10984.00;10990.00;0.0000
2018.08.22 17:40;10984.00;10984.00;0.0000
2018.08.23 14:16;10890.00;11004.00;0.0000
2018.08.23 14:45;10890.00;10894.00;0.0000
2018.08.23 16:15;10890.00;10890.00;0.0000
2018.08.24 10:36;10795.00;10905.00;0.0000
2018.08.24 11:25;10795.00;10799.00;0.0000
2018.08.24 11:26;10795.00;10795.00;0.0000
