<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2018.04.18 11:33;13939.00;13939.00;0.0000
2018.04.18 11:42;13828.00;13999.00;0.0000
2018.04.18 12:22;13828.00;13744.00;0.0000
2018.04.18 13:00;13828.00;13828.00;0.0000
2018.05.10 12:05;13522.00;13903.00;0.0000
2018.05.10 12:49;13522.00;13474.00;0.0000
2018.05.10 13:00;13522.00;13522.00;0.0000
2018.05.18 09:46;13153.00;13540.00;0.0000
2018.05.18 09:58;13153.00;13165.00;0.0000
2018.05.18 10:13;13153.00;13153.00;0.0000
2018.05.18 10:15;13429.00;13150.00;0.0000
2018.05.18 10:16;13429.00;13366.00;0.0000
2018.05.18 10:17;13429.00;13429.00;0.0000
2018.05.18 10:27;13714.00;13315.00;0.0000
2018.05.18 10:36;13714.00;13705.00;0.0000
2018.05.18 10:38;13714.00;13714.00;0.0000
2018.05.18 10:42;13438.00;13930.00;0.0000
2018.05.18 10:59;13438.00;13453.00;0.0000
2018.05.18 11:04;13438.00;13438.00;0.0000
2018.05.18 11:05;13717.00;13435.00;0.0000
2018.05.18 11:10;13717.00;13693.00;0.0000
2018.05.18 11:12;13717.00;13717.00;0.0000
2018.05.18 11:16;13342.00;13831.00;0.0000
2018.05.18 12:29;13342.00;13312.00;0.0000
2018.05.18 13:00;13342.00;13342.00;0.0000
2018.05.24 10:14;13636.00;13039.00;0.0000
2018.05.24 10:38;13636.00;13624.00;0.0000
2018.05.24 10:42;13636.00;13636.00;0.0000
2018.05.24 10:55;13723.00;13927.00;0.0000
2018.05.24 11:35;13723.00;13390.00;0.0000
2018.05.24 13:00;13723.00;13723.00;0.0000
2018.05.28 10:19;13318.00;13888.00;0.0000
2018.05.28 10:35;13318.00;13369.00;0.0000
2018.05.28 10:36;13318.00;13318.00;0.0000
2018.05.28 10:50;12967.00;13621.00;0.0000
2018.05.28 11:56;12967.00;13015.00;0.0000
2018.05.28 11:57;12967.00;12967.00;0.0000
2018.06.01 10:56;13249.00;12934.00;0.0000
2018.06.01 11:16;13249.00;13201.00;0.0000
2018.06.01 11:22;13249.00;13249.00;0.0000
2018.06.06 09:46;13522.00;13159.00;0.0000
2018.06.06 09:55;13522.00;13471.00;0.0000
2018.06.06 09:56;13522.00;13522.00;0.0000
2018.06.07 10:43;13813.00;13519.00;0.0000
2018.06.07 11:00;13813.00;13807.00;0.0000
2018.06.07 11:01;13813.00;13813.00;0.0000
2018.06.08 11:11;13492.00;14119.00;0.0000
2018.06.08 11:17;13492.00;13522.00;0.0000
2018.06.08 11:20;13492.00;13492.00;0.0000
2018.06.08 11:36;13795.00;13375.00;0.0000
2018.06.08 11:40;13795.00;13768.00;0.0000
2018.06.08 11:41;13795.00;13795.00;0.0000
2018.06.20 10:30;14071.00;13561.00;0.0000
2018.06.20 10:41;14071.00;14053.00;0.0000
2018.06.20 10:49;14071.00;14071.00;0.0000
2018.06.20 11:06;14353.00;14032.00;0.0000
2018.06.20 11:09;14353.00;14290.00;0.0000
2018.06.20 11:10;14353.00;14353.00;0.0000
2018.06.29 10:45;14665.00;14329.00;0.0000
2018.06.29 10:56;14665.00;14656.00;0.0000
2018.06.29 10:57;14665.00;14665.00;0.0000
2018.07.20 10:02;14968.00;14965.00;0.0000
2018.07.20 10:03;14968.00;14968.00;0.0000
2018.07.20 10:09;15259.00;14911.00;0.0000
2018.07.20 10:18;15259.00;15199.00;0.0000
2018.07.20 10:19;15259.00;15259.00;0.0000
2018.07.20 10:39;15337.00;15472.00;0.0000
2018.07.20 11:46;15337.00;14989.00;0.0000
2018.07.20 13:00;15337.00;15337.00;0.0000
2018.08.03 11:04;15004.00;15442.00;0.0000
2018.08.03 11:35;15004.00;15007.00;0.0000
2018.08.03 11:44;15004.00;15004.00;0.0000
2018.08.09 10:56;15316.00;14941.00;0.0000
2018.08.09 11:09;15316.00;15280.00;0.0000
2018.08.09 11:10;15316.00;15316.00;0.0000
2018.08.10 10:50;15073.00;15577.00;0.0000
2018.08.10 12:52;15073.00;15010.00;0.0000
2018.08.10 13:00;15073.00;15073.00;0.0000
2018.08.14 10:29;15361.00;15343.00;0.0000
2018.08.14 10:30;15361.00;15361.00;0.0000
2018.09.10 10:06;15661.00;15220.00;0.0000
2018.09.10 11:07;15661.00;15652.00;0.0000
2018.09.10 11:16;15661.00;15661.00;0.0000
2018.09.17 11:12;15958.00;15658.00;0.0000
2018.09.17 11:19;15958.00;15913.00;0.0000
2018.09.17 11:23;15958.00;15958.00;0.0000
2018.09.18 11:32;15673.00;16024.00;0.0000
2018.09.18 12:53;15673.00;15637.00;0.0000
2018.09.18 13:00;15673.00;15673.00;0.0000
2018.10.02 10:33;15259.00;15784.00;0.0000
2018.10.02 11:48;15259.00;15286.00;0.0000
2018.10.02 11:49;15259.00;15259.00;0.0000
2018.10.03 10:02;15562.00;14917.00;0.0000
2018.10.03 10:42;15562.00;15526.00;0.0000
2018.10.03 10:44;15562.00;15562.00;0.0000
2018.10.03 11:17;15850.00;15334.00;0.0000
2018.10.03 11:40;15850.00;15838.00;0.0000
2018.10.03 11:51;15850.00;15850.00;0.0000
2018.10.08 09:52;16198.00;15754.00;0.0000
2018.10.08 10:18;16198.00;16195.00;0.0000
2018.10.08 10:25;16198.00;16198.00;0.0000
2018.10.08 10:48;16552.00;16546.00;0.0000
2018.10.08 10:49;16552.00;16552.00;0.0000
2018.10.08 11:04;16834.00;16363.00;0.0000
2018.10.08 11:09;16834.00;16810.00;0.0000
2018.10.08 11:19;16834.00;16834.00;0.0000
2018.10.08 11:37;17167.00;17161.00;0.0000
2018.10.08 12:09;17167.00;17167.00;0.0000
2018.10.09 09:57;17476.00;16999.00;0.0000
2018.10.09 10:28;17476.00;17461.00;0.0000
2018.10.09 10:32;17476.00;17476.00;0.0000
2018.10.09 11:42;17755.00;17455.00;0.0000
2018.10.09 11:56;17755.00;17743.00;0.0000
2018.10.09 11:57;17755.00;17755.00;0.0000
2018.10.29 09:50;18055.00;17692.00;0.0000
2018.10.29 09:54;18055.00;17923.00;0.0000
2018.10.29 09:55;18055.00;18055.00;0.0000
2018.10.29 10:10;18328.00;18322.00;0.0000
2018.10.29 10:11;18328.00;18328.00;0.0000
2018.10.29 10:19;18631.00;18160.00;0.0000
2018.10.29 10:24;18631.00;18574.00;0.0000
2018.10.29 10:26;18631.00;18631.00;0.0000
2018.10.29 10:33;18994.00;18571.00;0.0000
2018.10.29 10:37;18994.00;18934.00;0.0000
2018.10.29 10:38;18994.00;18994.00;0.0000
2018.10.29 10:45;19315.00;19264.00;0.0000
2018.10.29 10:50;19315.00;19315.00;0.0000
2018.10.29 11:16;19642.00;19099.00;0.0000
2018.10.29 11:47;19642.00;19600.00;0.0000
2018.10.29 12:07;19642.00;19642.00;0.0000
2018.10.31 10:00;19942.00;19924.00;0.0000
2018.10.31 10:01;19942.00;19942.00;0.0000
2018.10.31 10:10;20227.00;19726.00;0.0000
2018.10.31 10:34;20227.00;20173.00;0.0000
2018.10.31 10:35;20227.00;20227.00;0.0000
2018.10.31 10:47;20542.00;20185.00;0.0000
2018.10.31 10:51;20542.00;20533.00;0.0000
2018.10.31 11:04;20542.00;20542.00;0.0000
2018.11.09 09:46;20818.00;20530.00;0.0000
2018.11.09 09:56;20818.00;20815.00;0.0000
2018.11.09 09:57;20818.00;20818.00;0.0000
2018.11.09 10:14;21094.00;20719.00;0.0000
