<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2017.01.23 11:24;10257.00;10257.00;0.0000
2017.01.24 10:16;10291.00;10245.00;0.0000
2017.01.24 10:48;10291.00;10325.00;0.0000
2017.01.24 11:00;10291.00;10291.00;0.0000
2017.01.27 10:52;10295.00;10254.00;0.0000
2017.01.27 11:34;10295.00;10306.00;0.0000
2017.01.27 11:40;10295.00;10295.00;0.0000
2017.01.27 11:51;10313.00;10287.00;0.0000
2017.01.27 12:03;10313.00;10314.00;0.0000
2017.01.27 12:03;10313.00;10313.00;0.0000
2017.01.31 11:25;10281.00;10345.00;0.0000
2017.01.31 12:03;10281.00;10272.00;0.0000
2017.01.31 12:15;10281.00;10281.00;0.0000
2017.02.01 10:27;10231.00;10289.00;0.0000
2017.02.01 11:31;10231.00;10232.00;0.0000
2017.02.01 11:45;10231.00;10231.00;0.0000
2017.02.02 10:32;10353.00;10219.00;0.0000
2017.02.02 11:44;10353.00;10353.00;0.0000
2017.02.02 11:44;10353.00;10353.00;0.0000
2017.02.03 10:13;10417.00;10326.00;0.0000
2017.02.03 11:30;10417.00;10417.00;0.0000
2017.02.03 11:30;10417.00;10417.00;0.0000
2017.02.06 10:14;10469.00;10391.00;0.0000
2017.02.06 10:31;10469.00;10470.00;0.0000
2017.02.06 10:31;10469.00;10469.00;0.0000
2017.02.08 10:03;10545.00;10452.00;0.0000
2017.02.08 10:27;10545.00;10546.00;0.0000
2017.02.08 10:27;10545.00;10545.00;0.0000
2017.02.08 11:44;10568.00;10522.00;0.0000
2017.02.08 12:10;10568.00;10574.00;0.0000
2017.02.08 12:15;10568.00;10568.00;0.0000
2017.02.09 10:12;10643.00;10565.00;0.0000
2017.02.09 10:41;10643.00;10668.00;0.0000
2017.02.09 10:50;10643.00;10643.00;0.0000
2017.02.10 10:38;10593.00;10658.00;0.0000
2017.02.10 11:31;10593.00;10599.00;0.0000
2017.02.10 11:55;10593.00;10593.00;0.0000
2017.02.13 10:41;10588.00;10624.00;0.0000
2017.02.13 11:11;10588.00;10560.00;0.0000
2017.02.13 12:15;10588.00;10588.00;0.0000
2017.02.14 09:20;10597.00;10587.00;0.0000
2017.02.14 09:21;10597.00;10597.00;0.0000
2017.02.14 09:21;10597.00;10597.00;0.0000
2017.02.14 11:23;10560.00;10610.00;0.0000
2017.02.14 12:14;10560.00;10549.00;0.0000
2017.02.14 12:15;10560.00;10560.00;0.0000
2017.02.16 10:02;10608.00;10523.00;0.0000
